           ~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "E:\chatting_app\env\Lib\site-packages\rest_framework\views.py", line 509, in dispatch
    response = self.handle_exception(exc)
  File "E:\chatting_app\env\Lib\site-packages\rest_framework\views.py", line 469, in handle_exception
    self.raise_uncaught_exception(exc)
    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File "E:\chatting_app\env\Lib\site-packages\rest_framework\views.py", line 480, in raise_uncaught_exception
    raise exc
  File "E:\chatting_app\env\Lib\site-packages\rest_framework\views.py", line 497, in dispatch
    self.initial(request, *args, **kwargs)
    ~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "E:\chatting_app\env\Lib\site-packages\rest_framework\views.py", line 416, in initial
    self.check_throttles(request)
    ~~~~~~~~~~~~~~~~~~~~^^^^^^^^^
  File "E:\chatting_app\env\Lib\site-packages\rest_framework\views.py", line 359, in check_throttles
    if not throttle.allow_request(request, self):
           ~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^
  File "E:\chatting_app\env\Lib\site-packages\rest_framework\throttling.py", line 123, in allow_request
    self.history = self.cache.get(self.key, [])
                   ~~~~~~~~~~~~~~^^^^^^^^^^^^^^
  File "E:\chatting_app\env\Lib\site-packages\django_redis\cache.py", line 92, in get
    value = self._get(key, default, version, client)
  File "E:\chatting_app\env\Lib\site-packages\django_redis\cache.py", line 29, in _decorator
    return method(self, *args, **kwargs)
  File "E:\chatting_app\env\Lib\site-packages\django_redis\cache.py", line 99, in _get
    return self.client.get(key, default=default, version=version, client=client)
           ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "E:\chatting_app\env\Lib\site-packages\django_redis\client\default.py", line 293, in get
    client = self.get_client(write=False)
  File "E:\chatting_app\env\Lib\site-packages\django_redis\client\default.py", line 128, in get_client
    self._clients[index] = self.connect(index)
                           ~~~~~~~~~~~~^^^^^^^
  File "E:\chatting_app\env\Lib\site-packages\django_redis\client\default.py", line 157, in connect
    return self.connection_factory.connect(self._server[index])
           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^
  File "E:\chatting_app\env\Lib\site-packages\django_redis\pool.py", line 69, in connect
    params = self.make_connection_params(url)
  File "E:\chatting_app\env\Lib\site-packages\django_redis\pool.py", line 41, in make_connection_params
    "parser_class": self.get_parser_cls(),
                    ~~~~~~~~~~~~~~~~~~~^^
  File "E:\chatting_app\env\Lib\site-packages\django_redis\pool.py", line 97, in get_parser_cls
    return import_string(cls)
  File "E:\chatting_app\env\Lib\site-packages\django\utils\module_loading.py", line 32, in import_string
    raise ImportError(
    ...<2 lines>...
    ) from err
ImportError: Module "redis.connection" does not define a "HiredisParser" attribute/class
ERROR 2026-03-01 19:48:47,367 log 6400 14432 "GET /register HTTP/1.1" 500 162719
WARNING 2026-03-01 19:48:47,587 log 6400 14432 Not Found: /favicon.ico
WARNING 2026-03-01 19:48:47,589 log 6400 14432 "GET /favicon.ico HTTP/1.1" 404 2521
INFO 2026-03-01 19:54:03,482 autoreload 6400 6056 E:\chatting_app\chat\chat\settings.py changed, reloading.
INFO 2026-03-01 19:54:06,574 autoreload 19400 2880 Watching for file changes with StatReloader
WARNING 2026-03-01 19:54:12,488 log 19400 4664 Method Not Allowed: /register
WARNING 2026-03-01 19:54:12,490 log 19400 4664 "GET /register HTTP/1.1" 405 13168
INFO 2026-03-01 19:54:12,646 log 19400 4664 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2026-03-01 19:54:12,651 log 19400 4664 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1793
INFO 2026-03-01 19:54:12,655 log 19400 4664 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2026-03-01 19:54:12,659 log 19400 4664 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2026-03-01 19:54:12,667 log 19400 4664 "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2026-03-01 19:54:12,667 log 19400 18396 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3426
